"","from","to","type","subtype"
"1","TNF","TNFRSF1A","PPrel","activation"
"2","TNFRSF1A","TRADD","PPrel","activation"
"3","TRADD","TRAF2","PPrel","binding/association"
"4","TRADD","TRAF5","PPrel","binding/association"
"5","TRADD","RIPK1","PPrel","binding/association"
"6","TRAF2","BIRC2","PPrel","binding/association"
"7","TRAF2","BIRC3","PPrel","binding/association"
"8","TRAF2","XIAP","PPrel","binding/association"
"9","TRAF2","RBCK1","PPrel","binding/association"
"10","TRAF2","RNF31","PPrel","binding/association"
"11","TRAF2","SHARPIN","PPrel","binding/association"
"12","TRAF5","BIRC2","PPrel","binding/association"
"13","TRAF5","BIRC3","PPrel","binding/association"
"14","TRAF5","XIAP","PPrel","binding/association"
"15","TRAF5","RBCK1","PPrel","binding/association"
"16","TRAF5","RNF31","PPrel","binding/association"
"17","TRAF5","SHARPIN","PPrel","binding/association"
"18","MLKL","PGAM5","PPrel","activation"
"19","MLKL","NLRP3","PPrel","activation"
"20","MLKL","TRPM7","PPrel","activation"
"21","TLR4","TICAM2","PPrel","activation"
"22","IFNAR1","JAK1","PPrel","activation"
"23","IFNAR1","JAK2","PPrel","activation"
"24","IFNAR1","JAK3","PPrel","activation"
"25","IFNAR1","TYK2","PPrel","activation"
"26","IFNAR2","JAK1","PPrel","activation"
"27","IFNAR2","JAK2","PPrel","activation"
"28","IFNAR2","JAK3","PPrel","activation"
"29","IFNAR2","TYK2","PPrel","activation"
"30","IFNGR1","JAK1","PPrel","activation"
"31","IFNGR1","JAK2","PPrel","activation"
"32","IFNGR1","JAK3","PPrel","activation"
"33","IFNGR1","TYK2","PPrel","activation"
"34","IFNGR2","JAK1","PPrel","activation"
"35","IFNGR2","JAK2","PPrel","activation"
"36","IFNGR2","JAK3","PPrel","activation"
"37","IFNGR2","TYK2","PPrel","activation"
"38","IFNA1","IFNAR1","PPrel","activation"
"39","IFNA1","IFNAR2","PPrel","activation"
"40","IFNA1","IFNGR1","PPrel","activation"
"41","IFNA1","IFNGR2","PPrel","activation"
"42","IFNA2","IFNAR1","PPrel","activation"
"43","IFNA2","IFNAR2","PPrel","activation"
"44","IFNA2","IFNGR1","PPrel","activation"
"45","IFNA2","IFNGR2","PPrel","activation"
"46","IFNA4","IFNAR1","PPrel","activation"
"47","IFNA4","IFNAR2","PPrel","activation"
"48","IFNA4","IFNGR1","PPrel","activation"
"49","IFNA4","IFNGR2","PPrel","activation"
"50","IFNA5","IFNAR1","PPrel","activation"
"51","IFNA5","IFNAR2","PPrel","activation"
"52","IFNA5","IFNGR1","PPrel","activation"
"53","IFNA5","IFNGR2","PPrel","activation"
"54","IFNA6","IFNAR1","PPrel","activation"
"55","IFNA6","IFNAR2","PPrel","activation"
"56","IFNA6","IFNGR1","PPrel","activation"
"57","IFNA6","IFNGR2","PPrel","activation"
"58","IFNA7","IFNAR1","PPrel","activation"
"59","IFNA7","IFNAR2","PPrel","activation"
"60","IFNA7","IFNGR1","PPrel","activation"
"61","IFNA7","IFNGR2","PPrel","activation"
"62","IFNA8","IFNAR1","PPrel","activation"
"63","IFNA8","IFNAR2","PPrel","activation"
"64","IFNA8","IFNGR1","PPrel","activation"
"65","IFNA8","IFNGR2","PPrel","activation"
"66","IFNA10","IFNAR1","PPrel","activation"
"67","IFNA10","IFNAR2","PPrel","activation"
"68","IFNA10","IFNGR1","PPrel","activation"
"69","IFNA10","IFNGR2","PPrel","activation"
"70","IFNA13","IFNAR1","PPrel","activation"
"71","IFNA13","IFNAR2","PPrel","activation"
"72","IFNA13","IFNGR1","PPrel","activation"
"73","IFNA13","IFNGR2","PPrel","activation"
"74","IFNA14","IFNAR1","PPrel","activation"
"75","IFNA14","IFNAR2","PPrel","activation"
"76","IFNA14","IFNGR1","PPrel","activation"
"77","IFNA14","IFNGR2","PPrel","activation"
"78","IFNA16","IFNAR1","PPrel","activation"
"79","IFNA16","IFNAR2","PPrel","activation"
"80","IFNA16","IFNGR1","PPrel","activation"
"81","IFNA16","IFNGR2","PPrel","activation"
"82","IFNA17","IFNAR1","PPrel","activation"
"83","IFNA17","IFNAR2","PPrel","activation"
"84","IFNA17","IFNGR1","PPrel","activation"
"85","IFNA17","IFNGR2","PPrel","activation"
"86","IFNA21","IFNAR1","PPrel","activation"
"87","IFNA21","IFNAR2","PPrel","activation"
"88","IFNA21","IFNGR1","PPrel","activation"
"89","IFNA21","IFNGR2","PPrel","activation"
"90","IFNB1","IFNAR1","PPrel","activation"
"91","IFNB1","IFNAR2","PPrel","activation"
"92","IFNB1","IFNGR1","PPrel","activation"
"93","IFNB1","IFNGR2","PPrel","activation"
"94","IFNG","IFNAR1","PPrel","activation"
"95","IFNG","IFNAR2","PPrel","activation"
"96","IFNG","IFNGR1","PPrel","activation"
"97","IFNG","IFNGR2","PPrel","activation"
"98","JAK1","STAT1","PPrel","activation"
"99","JAK1","STAT2","PPrel","activation"
"100","JAK1","STAT3","PPrel","activation"
"101","JAK1","STAT4","PPrel","activation"
"102","JAK1","STAT5A","PPrel","activation"
"103","JAK1","STAT5B","PPrel","activation"
"104","JAK1","STAT6","PPrel","activation"
"105","JAK2","STAT1","PPrel","activation"
"106","JAK2","STAT2","PPrel","activation"
"107","JAK2","STAT3","PPrel","activation"
"108","JAK2","STAT4","PPrel","activation"
"109","JAK2","STAT5A","PPrel","activation"
"110","JAK2","STAT5B","PPrel","activation"
"111","JAK2","STAT6","PPrel","activation"
"112","JAK3","STAT1","PPrel","activation"
"113","JAK3","STAT2","PPrel","activation"
"114","JAK3","STAT3","PPrel","activation"
"115","JAK3","STAT4","PPrel","activation"
"116","JAK3","STAT5A","PPrel","activation"
"117","JAK3","STAT5B","PPrel","activation"
"118","JAK3","STAT6","PPrel","activation"
"119","TYK2","STAT1","PPrel","activation"
"120","TYK2","STAT2","PPrel","activation"
"121","TYK2","STAT3","PPrel","activation"
"122","TYK2","STAT4","PPrel","activation"
"123","TYK2","STAT5A","PPrel","activation"
"124","TYK2","STAT5B","PPrel","activation"
"125","TYK2","STAT6","PPrel","activation"
"126","TNFRSF10B","RIPK1","PPrel","activation"
"127","TNFRSF10A","RIPK1","PPrel","activation"
"128","TNFSF10","TNFRSF10B","PPrel","activation"
"129","TNFSF10","TNFRSF10A","PPrel","activation"
"130","FASLG","FAS","PPrel","activation"
"131","BIRC2","RIPK1","PPrel","inhibition"
"132","BIRC2","RIPK1","PPrel","ubiquitination"
"133","BIRC3","RIPK1","PPrel","inhibition"
"134","BIRC3","RIPK1","PPrel","ubiquitination"
"135","XIAP","RIPK1","PPrel","inhibition"
"136","XIAP","RIPK1","PPrel","ubiquitination"
"137","CASP8","CYLD","PPrel","inhibition"
"138","CASP8","RIPK1","PPrel","inhibition"
"139","CASP8","RIPK3","PPrel","inhibition"
"140","CFLAR","CASP8","PPrel","inhibition"
"141","CYLD","RIPK1","PPrel","activation"
"142","TLR3","TICAM1","PPrel","activation"
"143","RIPK1","RIPK3","PPrel","activation"
"144","RIPK1","RIPK3","PPrel","phosphorylation"
"145","RIPK1","SLC25A4","PPrel","inhibition"
"146","RIPK1","SLC25A4","PPrel","indirect effect"
"147","RIPK1","SLC25A5","PPrel","inhibition"
