"","from","to","type","subtype"
"1","HRAS","BRAF","PPrel","activation"
"2","KRAS","BRAF","PPrel","activation"
"3","NRAS","BRAF","PPrel","activation"
"4","PPARG","RXRA","PPrel","binding/association"
"5","PPARG","RXRB","PPrel","binding/association"
"6","PPARG","RXRG","PPrel","binding/association"
"7","BRAF","MAP2K1","PPrel","activation"
"8","BRAF","MAP2K1","PPrel","phosphorylation"
"9","BRAF","MAP2K2","PPrel","activation"
"10","BRAF","MAP2K2","PPrel","phosphorylation"
"11","MAP2K1","MAPK1","PPrel","activation"
"12","MAP2K1","MAPK1","PPrel","phosphorylation"
"13","MAP2K1","MAPK3","PPrel","activation"
"14","MAP2K1","MAPK3","PPrel","phosphorylation"
"15","MAP2K2","MAPK1","PPrel","activation"
"16","MAP2K2","MAPK1","PPrel","phosphorylation"
"17","MAP2K2","MAPK3","PPrel","activation"
"18","MAP2K2","MAPK3","PPrel","phosphorylation"
"19","PAX8","RXRA","PPrel","binding/association"
"20","PAX8","RXRB","PPrel","binding/association"
"21","PAX8","RXRG","PPrel","binding/association"
"22","CTNNB1","CDH1","PPrel","dissociation"
"23","CTNNB1","LEF1","PPrel","activation"
"24","CTNNB1","TCF7","PPrel","activation"
"25","CTNNB1","TCF7L2","PPrel","activation"
"26","CTNNB1","TCF7L1","PPrel","activation"
"27","RET","HRAS","PPrel","indirect effect"
"28","RET","KRAS","PPrel","indirect effect"
"29","RET","NRAS","PPrel","indirect effect"
"30","CCDC6","HRAS","PPrel","indirect effect"
"31","CCDC6","KRAS","PPrel","indirect effect"
"32","CCDC6","NRAS","PPrel","indirect effect"
"33","NCOA4","HRAS","PPrel","indirect effect"
"34","NCOA4","KRAS","PPrel","indirect effect"
"35","NCOA4","NRAS","PPrel","indirect effect"
"36","TFG","HRAS","PPrel","indirect effect"
"37","TFG","KRAS","PPrel","indirect effect"
"38","TFG","NRAS","PPrel","indirect effect"
"39","NTRK1","HRAS","PPrel","indirect effect"
"40","NTRK1","KRAS","PPrel","indirect effect"
"41","NTRK1","NRAS","PPrel","indirect effect"
"42","TPM3","HRAS","PPrel","indirect effect"
"43","TPM3","KRAS","PPrel","indirect effect"
"44","TPM3","NRAS","PPrel","indirect effect"
"45","TPR","HRAS","PPrel","indirect effect"
"46","TPR","KRAS","PPrel","indirect effect"
"47","TPR","NRAS","PPrel","indirect effect"
"48","LEF1","MYC","GErel","expression"
"49","LEF1","CCND1","GErel","expression"
"50","TCF7","MYC","GErel","expression"
"51","TCF7","CCND1","GErel","expression"
"52","TCF7L2","MYC","GErel","expression"
"53","TCF7L2","CCND1","GErel","expression"
"54","TCF7L1","MYC","GErel","expression"
"55","TCF7L1","CCND1","GErel","expression"
"56","TP53","CDKN1A","PPrel","missing interaction"
"57","TP53","GADD45G","PPrel","missing interaction"
"58","TP53","GADD45A","PPrel","missing interaction"
"59","TP53","GADD45B","PPrel","missing interaction"
"60","TP53","BAX","PPrel","missing interaction"
"61","TP53","BAK1","PPrel","missing interaction"
"62","TP53","DDB2","PPrel","missing interaction"
"63","TP53","POLK","PPrel","missing interaction"
