"","from","to","type","subtype"
"1","HRAS","ARAF","PPrel","activation"
"2","HRAS","RAF1","PPrel","activation"
"3","HRAS","BRAF","PPrel","activation"
"4","CDKN2A","MDM2","PPrel","missing interaction"
"5","CDKN2A","CDK4","PPrel","missing interaction"
"6","CDKN2A","CCND1","PPrel","missing interaction"
"7","CDKN1A","CDK4","PPrel","missing interaction"
"8","CDKN1A","CCND1","PPrel","missing interaction"
"9","RASSF1","HRAS","PPrel","missing interaction"
"10","RASSF1","KRAS","PPrel","missing interaction"
"11","RASSF1","NRAS","PPrel","missing interaction"
"12","DAPK1","MAPK1","PPrel","missing interaction"
"13","DAPK1","MAPK3","PPrel","missing interaction"
"14","DAPK3","MAPK1","PPrel","missing interaction"
"15","DAPK3","MAPK3","PPrel","missing interaction"
"16","DAPK2","MAPK1","PPrel","missing interaction"
"17","DAPK2","MAPK3","PPrel","missing interaction"
"18","MDM2","TP53","PPrel","inhibition"
"19","E2F1","RB1","PPrel","dissociation"
"20","E2F2","RB1","PPrel","dissociation"
"21","E2F3","RB1","PPrel","dissociation"
"22","FGFR3","HRAS","PPrel","indirect effect"
"23","FGFR3","KRAS","PPrel","indirect effect"
"24","FGFR3","NRAS","PPrel","indirect effect"
"25","CDK4","RB1","PPrel","activation"
"26","CDK4","RB1","PPrel","phosphorylation"
"27","CCND1","RB1","PPrel","activation"
"28","CCND1","RB1","PPrel","phosphorylation"
"29","EGF","ERBB2","PPrel","activation"
"30","EGF","EGFR","PPrel","activation"
"31","MAPK1","RPS6KA5","PPrel","activation"
"32","MAPK1","RPS6KA5","PPrel","phosphorylation"
"33","MAPK3","RPS6KA5","PPrel","activation"
"34","MAPK3","RPS6KA5","PPrel","phosphorylation"
"35","MAP2K1","MAPK1","PPrel","activation"
"36","MAP2K1","MAPK1","PPrel","phosphorylation"
"37","MAP2K1","MAPK3","PPrel","activation"
"38","MAP2K1","MAPK3","PPrel","phosphorylation"
"39","MAP2K2","MAPK1","PPrel","activation"
"40","MAP2K2","MAPK1","PPrel","phosphorylation"
"41","MAP2K2","MAPK3","PPrel","activation"
"42","MAP2K2","MAPK3","PPrel","phosphorylation"
"43","ARAF","MAP2K1","PPrel","activation"
"44","ARAF","MAP2K1","PPrel","phosphorylation"
"45","ARAF","MAP2K2","PPrel","activation"
"46","ARAF","MAP2K2","PPrel","phosphorylation"
"47","RAF1","MAP2K1","PPrel","activation"
"48","RAF1","MAP2K1","PPrel","phosphorylation"
"49","RAF1","MAP2K2","PPrel","activation"
"50","RAF1","MAP2K2","PPrel","phosphorylation"
"51","BRAF","MAP2K1","PPrel","activation"
"52","BRAF","MAP2K1","PPrel","phosphorylation"
"53","BRAF","MAP2K2","PPrel","activation"
"54","BRAF","MAP2K2","PPrel","phosphorylation"
"55","KRAS","ARAF","PPrel","activation"
"56","KRAS","RAF1","PPrel","activation"
"57","KRAS","BRAF","PPrel","activation"
"58","NRAS","ARAF","PPrel","activation"
"59","NRAS","RAF1","PPrel","activation"
"60","NRAS","BRAF","PPrel","activation"
